locus_tag	ftype	length_bp	gene	EC_number	COG	product
JKDPDCFA_00053	CDS	1044	bchB	1.3.7.7		Light-independent protochlorophyllide reductase subunit B
JKDPDCFA_00054	CDS	561				hypothetical protein
JKDPDCFA_00055	CDS	114				hypothetical protein
JKDPDCFA_00056	CDS	1524	murJ		COG0728	putative lipid II flippase MurJ
JKDPDCFA_00057	CDS	1377				hypothetical protein
JKDPDCFA_00058	CDS	486				hypothetical protein
JKDPDCFA_00059	CDS	252				hypothetical protein
JKDPDCFA_00060	CDS	2487	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
JKDPDCFA_00061	tRNA	77				tRNA-Arg(acg)
JKDPDCFA_00062	CDS	471	xerD_1			Tyrosine recombinase XerD
JKDPDCFA_00063	CDS	636				hypothetical protein
JKDPDCFA_00064	CDS	702				hypothetical protein
JKDPDCFA_00065	CDS	177				hypothetical protein
JKDPDCFA_00066	CDS	675				hypothetical protein
JKDPDCFA_00067	CDS	252				hypothetical protein
JKDPDCFA_00068	CDS	1767				hypothetical protein
JKDPDCFA_00069	CDS	378				hypothetical protein
JKDPDCFA_00070	CDS	252				hypothetical protein
JKDPDCFA_00071	CDS	513				hypothetical protein
JKDPDCFA_00072	CDS	108				hypothetical protein
JKDPDCFA_00073	CDS	786				hypothetical protein
JKDPDCFA_00074	CDS	306				hypothetical protein
JKDPDCFA_00075	CDS	1290	yhjE			Inner membrane metabolite transport protein YhjE
JKDPDCFA_00076	CDS	1221	nhaH			Na(+)/H(+) antiporter NhaH
JKDPDCFA_00077	CDS	1293				hypothetical protein
JKDPDCFA_00078	CDS	1446		3.4.24.-	COG0612	putative zinc protease
JKDPDCFA_00079	CDS	1182		3.4.24.-	COG0612	putative zinc protease
JKDPDCFA_00080	CDS	423				hypothetical protein
JKDPDCFA_00081	CDS	1002				hypothetical protein
JKDPDCFA_00082	CDS	492				hypothetical protein
JKDPDCFA_00083	CDS	1566	hflX			GTPase HflX
JKDPDCFA_00084	CDS	255				hypothetical protein
JKDPDCFA_00085	CDS	378				hypothetical protein
JKDPDCFA_00086	CDS	372				hypothetical protein
JKDPDCFA_00087	CDS	1329	serS	6.1.1.11	COG0172	Serine--tRNA ligase
JKDPDCFA_00088	CDS	567				hypothetical protein
JKDPDCFA_00089	CDS	1152				hypothetical protein
JKDPDCFA_00090	CDS	1506			COG2200	putative signaling protein
JKDPDCFA_00091	CDS	1212				hypothetical protein
JKDPDCFA_00092	CDS	672			COG1926	Putative phosphoribosyl transferase
JKDPDCFA_00093	CDS	1218				IS256 family transposase ISPeth3
JKDPDCFA_00094	CDS	1062	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
JKDPDCFA_00095	CDS	312		1.14.11.1		Gamma-butyrobetaine dioxygenase
JKDPDCFA_00096	CDS	807	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
JKDPDCFA_00097	CDS	258				hypothetical protein
JKDPDCFA_00098	CDS	1077	apbC		COG0489	Iron-sulfur cluster carrier protein
JKDPDCFA_00099	CDS	483				hypothetical protein
JKDPDCFA_00100	CDS	204	iscX		COG2975	Protein IscX
JKDPDCFA_00101	CDS	312	fdx_1		COG0633	2Fe-2S ferredoxin
JKDPDCFA_00102	CDS	1338	hscA_1		COG0443	Chaperone protein HscA
JKDPDCFA_00103	CDS	366	hscA_2		COG0443	Chaperone protein HscA
JKDPDCFA_00104	CDS	678	hscB			Co-chaperone protein HscB
JKDPDCFA_00105	CDS	330			COG0316	Protein
JKDPDCFA_00106	CDS	414	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
JKDPDCFA_00107	CDS	1215	iscS_1	2.8.1.7	COG1104	Cysteine desulfurase IscS
JKDPDCFA_00108	CDS	471	nsrR_1			HTH-type transcriptional repressor NsrR
JKDPDCFA_00109	CDS	1068				hypothetical protein
JKDPDCFA_00110	CDS	570				hypothetical protein
JKDPDCFA_00111	CDS	1443				hypothetical protein
JKDPDCFA_00112	CDS	123				hypothetical protein
JKDPDCFA_00113	CDS	1734	aprA	1.8.99.2		Adenylylsulfate reductase subunit alpha
JKDPDCFA_00114	CDS	345	aprB			Adenylylsulfate reductase subunit beta
JKDPDCFA_00115	CDS	1182	sat	2.7.7.4	COG2046	Sulfate adenylyltransferase
JKDPDCFA_00116	CDS	366				hypothetical protein
JKDPDCFA_00117	CDS	195				hypothetical protein
JKDPDCFA_00118	CDS	1338	bchR	2.1.1.331	COG1032	Bacteriochlorophyllide d C-12(1)-methyltransferase
JKDPDCFA_00119	CDS	393				hypothetical protein
JKDPDCFA_00120	CDS	1089	mdtD			Putative multidrug resistance protein MdtD
JKDPDCFA_00121	tRNA	76				tRNA-Met(cat)
JKDPDCFA_00122	CDS	687	fic	2.7.7.-	COG3177	Protein adenylyltransferase SoFic
JKDPDCFA_00123	CDS	216				hypothetical protein
JKDPDCFA_00124	CDS	717				hypothetical protein
JKDPDCFA_00125	CDS	1365	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
JKDPDCFA_00126	CDS	1605	cydA	7.1.1.7	COG1271	Cytochrome bd-I ubiquinol oxidase subunit 1
JKDPDCFA_00127	CDS	1140	cydB	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
JKDPDCFA_00128	CDS	132				hypothetical protein
JKDPDCFA_00129	CDS	1275		1.8.5.4	COG0446	Sulfide-quinone reductase
JKDPDCFA_00130	CDS	1101				hypothetical protein
JKDPDCFA_00131	CDS	453				hypothetical protein
JKDPDCFA_00132	CDS	312				hypothetical protein
JKDPDCFA_00133	CDS	360				hypothetical protein
JKDPDCFA_00134	CDS	429				hypothetical protein
JKDPDCFA_00135	CDS	273				hypothetical protein
JKDPDCFA_00136	CDS	1272				hypothetical protein
JKDPDCFA_00137	CDS	636	degU		COG2197	Transcriptional regulatory protein DegU
JKDPDCFA_00138	CDS	1599	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
JKDPDCFA_00139	CDS	1998	potE			Putrescine transporter PotE
JKDPDCFA_00140	CDS	1185				hypothetical protein
JKDPDCFA_00141	CDS	618	kdpC		COG2156	Potassium-transporting ATPase KdpC subunit
JKDPDCFA_00142	CDS	1704	kdpA		COG2060	Potassium-transporting ATPase potassium-binding subunit
JKDPDCFA_00143	CDS	2013	kdpB	7.2.2.6	COG2216	Potassium-transporting ATPase ATP-binding subunit
JKDPDCFA_00144	CDS	609				hypothetical protein
JKDPDCFA_00145	CDS	639				hypothetical protein
JKDPDCFA_00146	CDS	639				hypothetical protein
JKDPDCFA_00147	CDS	645				hypothetical protein
JKDPDCFA_00148	CDS	2226				hypothetical protein
JKDPDCFA_00149	CDS	579				hypothetical protein
JKDPDCFA_00150	CDS	930				hypothetical protein
JKDPDCFA_00151	CDS	924	garR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
JKDPDCFA_00152	CDS	576		1.11.1.15		Peroxiredoxin
JKDPDCFA_00153	CDS	888	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
JKDPDCFA_00154	CDS	447	yccU		COG1832	putative protein YccU
JKDPDCFA_00155	CDS	1263	glpC		COG0247	Anaerobic glycerol-3-phosphate dehydrogenase subunit C
JKDPDCFA_00156	CDS	594				hypothetical protein
JKDPDCFA_00157	CDS	1173	iscS_2	2.8.1.7	COG1104	IscS-like cysteine desulfurase
JKDPDCFA_00158	CDS	213				hypothetical protein
JKDPDCFA_00159	CDS	591				hypothetical protein
JKDPDCFA_00160	tRNA	86				tRNA-Leu(cag)
JKDPDCFA_00161	tRNA	77				tRNA-Arg(tct)
JKDPDCFA_00162	CDS	207				hypothetical protein
JKDPDCFA_00163	CDS	414				hypothetical protein
JKDPDCFA_00164	CDS	1284				hypothetical protein
JKDPDCFA_00165	CDS	1656				hypothetical protein
JKDPDCFA_00166	CDS	678				hypothetical protein
JKDPDCFA_00167	CDS	558	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
JKDPDCFA_00168	CDS	507				hypothetical protein
JKDPDCFA_00169	CDS	2109			COG2200	putative signaling protein
JKDPDCFA_00170	CDS	621				hypothetical protein
JKDPDCFA_00171	CDS	192				hypothetical protein
JKDPDCFA_00172	CDS	1071				hypothetical protein
JKDPDCFA_00173	CDS	648				hypothetical protein
JKDPDCFA_00174	tRNA	76				tRNA-Lys(ttt)
JKDPDCFA_00175	CDS	1089	ydiK		COG0628	Putative transport protein YdiK
JKDPDCFA_00176	CDS	627	leuD1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
JKDPDCFA_00177	CDS	1398	leuC_1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
JKDPDCFA_00178	CDS	1074	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
JKDPDCFA_00179	CDS	900	rfbA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 1
JKDPDCFA_00180	CDS	552	rfbC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
JKDPDCFA_00181	CDS	1278	proP_2			Proline/betaine transporter
JKDPDCFA_00182	CDS	951	esiB			Secretory immunoglobulin A-binding protein EsiB
JKDPDCFA_00183	CDS	2718				hypothetical protein
JKDPDCFA_00184	CDS	471				hypothetical protein
JKDPDCFA_00185	CDS	1374	gadA	4.1.1.15	COG0076	Glutamate decarboxylase
JKDPDCFA_00186	CDS	1917	treZ	3.2.1.141	COG0296	Malto-oligosyltrehalose trehalohydrolase
JKDPDCFA_00187	CDS	2898				hypothetical protein
JKDPDCFA_00188	CDS	1671	treS_1	3.2.1.1	COG0366	Trehalose synthase/amylase TreS
JKDPDCFA_00189	CDS	1680	treS_2	3.2.1.1	COG0366	Trehalose synthase/amylase TreS
JKDPDCFA_00190	CDS	1017				hypothetical protein
JKDPDCFA_00191	CDS	1161				hypothetical protein
JKDPDCFA_00192	CDS	843				hypothetical protein
JKDPDCFA_00193	CDS	1143				hypothetical protein
JKDPDCFA_00194	CDS	636				hypothetical protein
JKDPDCFA_00195	CDS	1992	glgE1	2.4.99.16	COG0366	Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase 1
JKDPDCFA_00196	CDS	1572	mak1	2.7.1.175		Maltokinase
JKDPDCFA_00197	CDS	1044	adhC2	1.1.1.2	COG1064	NADP-dependent alcohol dehydrogenase C 2
JKDPDCFA_00198	CDS	306				hypothetical protein
JKDPDCFA_00199	CDS	324				hypothetical protein
JKDPDCFA_00200	CDS	894				hypothetical protein
JKDPDCFA_00201	CDS	2244				hypothetical protein
JKDPDCFA_00202	CDS	1212				ISAzo13 family transposase ISLsp4
JKDPDCFA_00203	CDS	195				hypothetical protein
JKDPDCFA_00204	CDS	867	fadB	5.3.3.8		Fatty acid oxidation complex subunit alpha
JKDPDCFA_00205	CDS	777	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
JKDPDCFA_00206	CDS	1776	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
JKDPDCFA_00207	CDS	1131	rpfG_1	3.1.4.-	COG3437	Cyclic di-GMP phosphodiesterase response regulator RpfG
JKDPDCFA_00208	CDS	696				hypothetical protein
JKDPDCFA_00209	CDS	888				hypothetical protein
JKDPDCFA_00210	CDS	1518				hypothetical protein
JKDPDCFA_00211	CDS	3237	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
JKDPDCFA_00212	CDS	147				hypothetical protein
JKDPDCFA_00213	CDS	789				hypothetical protein
JKDPDCFA_00214	CDS	1830	pglK	7.5.2.5	COG1132	Protein glycosylation K
JKDPDCFA_00215	CDS	900				hypothetical protein
JKDPDCFA_00216	CDS	816				hypothetical protein
JKDPDCFA_00217	CDS	1320				hypothetical protein
JKDPDCFA_00218	CDS	1095				hypothetical protein
JKDPDCFA_00219	CDS	1056				hypothetical protein
JKDPDCFA_00220	CDS	1104				hypothetical protein
JKDPDCFA_00221	CDS	1878				hypothetical protein
JKDPDCFA_00222	CDS	2046				hypothetical protein
JKDPDCFA_00223	CDS	1416	atoC_1		COG2204	Regulatory protein AtoC
JKDPDCFA_00224	CDS	498				hypothetical protein
JKDPDCFA_00225	CDS	168				hypothetical protein
JKDPDCFA_00226	CDS	666				hypothetical protein
JKDPDCFA_00227	CDS	924	gtaB_1	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
JKDPDCFA_00228	CDS	1323	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
JKDPDCFA_00229	CDS	999				hypothetical protein
JKDPDCFA_00230	CDS	990				hypothetical protein
JKDPDCFA_00231	CDS	1011				hypothetical protein
JKDPDCFA_00232	CDS	1803				hypothetical protein
JKDPDCFA_00233	CDS	1512				hypothetical protein
JKDPDCFA_00234	CDS	1125	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
JKDPDCFA_00235	CDS	1962	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
JKDPDCFA_00236	CDS	156				hypothetical protein
JKDPDCFA_00237	CDS	1065	mshA_3	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
JKDPDCFA_00238	CDS	1011				hypothetical protein
JKDPDCFA_00239	CDS	798				hypothetical protein
JKDPDCFA_00240	CDS	1515				hypothetical protein
JKDPDCFA_00241	CDS	858				hypothetical protein
JKDPDCFA_00242	CDS	1344				hypothetical protein
JKDPDCFA_00243	CDS	1983				hypothetical protein
JKDPDCFA_00244	CDS	387				hypothetical protein
JKDPDCFA_00245	CDS	228				hypothetical protein
JKDPDCFA_00246	CDS	132				hypothetical protein
JKDPDCFA_00247	CDS	273				hypothetical protein
JKDPDCFA_00248	CDS	582	sigE		COG1595	ECF RNA polymerase sigma factor SigE
JKDPDCFA_00249	CDS	462				hypothetical protein
JKDPDCFA_00250	CDS	1674	merA_1	1.16.1.1	COG1249	Mercuric reductase
JKDPDCFA_00251	CDS	408	zntR		COG0789	HTH-type transcriptional regulator ZntR
JKDPDCFA_00252	CDS	1098				hypothetical protein
JKDPDCFA_00253	CDS	1116				hypothetical protein
JKDPDCFA_00254	CDS	324				hypothetical protein
JKDPDCFA_00255	CDS	1905				hypothetical protein
JKDPDCFA_00256	CDS	1104	rfbD	5.4.99.9		UDP-galactopyranose mutase
JKDPDCFA_00257	CDS	1026	wbgU_1	5.1.3.7		UDP-N-acetylglucosamine 4-epimerase
JKDPDCFA_00258	CDS	3762				hypothetical protein
JKDPDCFA_00259	CDS	1557	norR_2			Anaerobic nitric oxide reductase transcription regulator NorR
JKDPDCFA_00260	CDS	1848	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
JKDPDCFA_00261	CDS	1302	wbpA	1.1.1.136	COG0677	UDP-N-acetyl-D-glucosamine 6-dehydrogenase
JKDPDCFA_00262	CDS	513				hypothetical protein
JKDPDCFA_00263	CDS	951	wbgU_2	5.1.3.7		UDP-N-acetylglucosamine 4-epimerase
JKDPDCFA_00264	CDS	1428	norR_3			Anaerobic nitric oxide reductase transcription regulator NorR
JKDPDCFA_00265	CDS	570				hypothetical protein
JKDPDCFA_00266	CDS	2244				hypothetical protein
JKDPDCFA_00267	CDS	642				hypothetical protein
JKDPDCFA_00268	tRNA	78				tRNA-Glu(ttc)
JKDPDCFA_00269	CDS	1251	sucC_1	6.2.1.4	COG0045	Succinate--CoA ligase [GDP-forming] subunit beta
JKDPDCFA_00270	CDS	987	sucD_1	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
JKDPDCFA_00271	CDS	153				hypothetical protein
JKDPDCFA_00272	CDS	1926	leuC_2	4.2.1.33		3-isopropylmalate dehydratase large subunit
JKDPDCFA_00273	CDS	810				hypothetical protein
JKDPDCFA_00274	CDS	603				hypothetical protein
JKDPDCFA_00275	CDS	687				hypothetical protein
JKDPDCFA_00276	CDS	1623				hypothetical protein
JKDPDCFA_00277	CDS	1191	sucC_2	6.2.1.5		Succinate--CoA ligase [ADP-forming] subunit beta
JKDPDCFA_00278	CDS	918	sucD_2	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
JKDPDCFA_00279	CDS	462	ahpE	1.11.1.15	COG1225	Alkyl hydroperoxide reductase E
JKDPDCFA_00280	CDS	543				hypothetical protein
JKDPDCFA_00281	CDS	243				hypothetical protein
JKDPDCFA_00282	CDS	447	mraZ			Transcriptional regulator MraZ
JKDPDCFA_00283	CDS	924	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
JKDPDCFA_00284	CDS	276				hypothetical protein
JKDPDCFA_00285	CDS	1737	spoVD		COG0768	Stage V sporulation protein D
JKDPDCFA_00286	CDS	1545	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
JKDPDCFA_00287	CDS	831	murF_1	6.3.2.10		UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
JKDPDCFA_00288	CDS	618	murF_2	6.3.2.10		UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
JKDPDCFA_00289	CDS	1074	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
JKDPDCFA_00290	CDS	1464	murD	6.3.2.9		UDP-N-acetylmuramoylalanine--D-glutamate ligase
JKDPDCFA_00291	CDS	1191	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
JKDPDCFA_00292	CDS	1116	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
JKDPDCFA_00293	CDS	1395	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
JKDPDCFA_00294	CDS	852	murB	1.3.1.98		UDP-N-acetylenolpyruvoylglucosamine reductase
JKDPDCFA_00295	CDS	948	ddl	6.3.2.4	COG1181	D-alanine--D-alanine ligase
JKDPDCFA_00296	CDS	861				hypothetical protein
JKDPDCFA_00297	CDS	1278	ftsA		COG0849	Cell division protein FtsA
JKDPDCFA_00298	CDS	1173	ftsZ			Cell division protein FtsZ
JKDPDCFA_00299	CDS	651				hypothetical protein
JKDPDCFA_00300	CDS	693			COG0325	Pyridoxal phosphate homeostasis protein
JKDPDCFA_00301	CDS	816	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
JKDPDCFA_00302	CDS	219				hypothetical protein
JKDPDCFA_00303	CDS	528				hypothetical protein
JKDPDCFA_00304	CDS	309				hypothetical protein
JKDPDCFA_00305	CDS	600				hypothetical protein
JKDPDCFA_00306	CDS	594				IS1595 family transposase ISDeor1
JKDPDCFA_00307	CDS	2052	shc	4.2.1.129	COG1657	Squalene--hopene cyclase
JKDPDCFA_00308	CDS	420				hypothetical protein
JKDPDCFA_00309	CDS	1341				hypothetical protein
JKDPDCFA_00310	CDS	699				hypothetical protein
JKDPDCFA_00311	CDS	1011	auaH_1	1.1.1.394		Aurachin B dehydrogenase
JKDPDCFA_00312	CDS	909	ispH2	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase 2
JKDPDCFA_00313	CDS	1440				hypothetical protein
JKDPDCFA_00314	CDS	1239				hypothetical protein
JKDPDCFA_00315	CDS	294	arnE			4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
JKDPDCFA_00316	CDS	774				hypothetical protein
JKDPDCFA_00317	CDS	831	cbiX	4.99.1.3	COG2138	Sirohydrochlorin cobaltochelatase
JKDPDCFA_00318	CDS	1071	hemE	4.1.1.37		Uroporphyrinogen decarboxylase
JKDPDCFA_00319	CDS	1380	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
JKDPDCFA_00320	CDS	576				hypothetical protein
JKDPDCFA_00321	tRNA	76				tRNA-Ala(ggc)
JKDPDCFA_00322	CDS	264				hypothetical protein
JKDPDCFA_00323	CDS	588				hypothetical protein
JKDPDCFA_00324	CDS	405				hypothetical protein
JKDPDCFA_00325	CDS	303				hypothetical protein
JKDPDCFA_00326	CDS	147				hypothetical protein
JKDPDCFA_00327	CDS	354				hypothetical protein
JKDPDCFA_00328	CDS	261				hypothetical protein
JKDPDCFA_00329	CDS	408				hypothetical protein
JKDPDCFA_00330	CDS	987				hypothetical protein
JKDPDCFA_00331	CDS	786				hypothetical protein
JKDPDCFA_00332	CDS	216				hypothetical protein
JKDPDCFA_00333	CDS	669				hypothetical protein
JKDPDCFA_00334	CDS	1209	intS		COG0582	Prophage integrase IntS
JKDPDCFA_00335	CDS	1158	metK	2.5.1.6		S-adenosylmethionine synthase
JKDPDCFA_00336	CDS	1257	ahcY	3.3.1.1	COG0499	Adenosylhomocysteinase
JKDPDCFA_00337	CDS	231				hypothetical protein
JKDPDCFA_00338	CDS	939	cysK	2.5.1.47		Cysteine synthase
JKDPDCFA_00339	CDS	813	ttuC	2.7.7.80	COG0476	Sulfur carrier protein adenylyltransferase
JKDPDCFA_00340	CDS	1281	thrC_1	4.2.3.1	COG0498	Threonine synthase
JKDPDCFA_00341	CDS	282	cysO		COG1977	Sulfur carrier protein CysO
JKDPDCFA_00342	CDS	243				hypothetical protein
JKDPDCFA_00343	CDS	804	moeZ		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
JKDPDCFA_00344	CDS	429	mec	3.13.1.6	COG1310	CysO-cysteine peptidase
JKDPDCFA_00345	CDS	696	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
JKDPDCFA_00346	CDS	1362	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
JKDPDCFA_00347	CDS	972	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
JKDPDCFA_00348	CDS	957	nfo	3.1.21.2	COG0648	Endonuclease 4
JKDPDCFA_00349	CDS	777	mlaE_1		COG0767	Intermembrane phospholipid transport system permease protein MlaE
JKDPDCFA_00350	CDS	723	mlaF	3.6.3.-	COG1127	Intermembrane phospholipid transport system ATP-binding protein MlaF
JKDPDCFA_00351	CDS	978				hypothetical protein
JKDPDCFA_00352	CDS	1158				hypothetical protein
JKDPDCFA_00353	CDS	681				hypothetical protein
JKDPDCFA_00354	CDS	1923				hypothetical protein
JKDPDCFA_00355	CDS	1500				hypothetical protein
JKDPDCFA_00356	CDS	1035	pdxA2	1.1.1.408	COG1995	D-threonate 4-phosphate dehydrogenase
JKDPDCFA_00357	CDS	909	fieF		COG0053	Ferrous-iron efflux pump FieF
JKDPDCFA_00358	CDS	2808	uvrA		COG0178	UvrABC system protein A
JKDPDCFA_00359	CDS	717	lolA			Outer-membrane lipoprotein carrier protein
JKDPDCFA_00360	CDS	2289	ftsK		COG1674	DNA translocase FtsK
JKDPDCFA_00361	CDS	1689	rnj1	3.1.-.-		Ribonuclease J 1
JKDPDCFA_00362	CDS	771	rsmA	2.1.1.182		Ribosomal RNA small subunit methyltransferase A
JKDPDCFA_00363	CDS	3150				hypothetical protein
JKDPDCFA_00364	CDS	276				hypothetical protein
JKDPDCFA_00365	CDS	336				hypothetical protein
JKDPDCFA_00366	CDS	1383			COG2256	putative AAA domain-containing protein
JKDPDCFA_00367	CDS	1566	rny_1	3.1.-.-	COG1418	Ribonuclease Y
JKDPDCFA_00368	CDS	855	ymdB	3.1.4.16	COG1692	2',3'-cyclic-nucleotide 2'-phosphodiesterase
JKDPDCFA_00369	CDS	1512	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
JKDPDCFA_00370	CDS	294	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
JKDPDCFA_00371	CDS	531		2.5.1.10		Farnesyl diphosphate synthase
JKDPDCFA_00372	CDS	429	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
JKDPDCFA_00373	CDS	1893	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
JKDPDCFA_00374	CDS	756	tlyA	2.1.1.226	COG1189	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
JKDPDCFA_00375	CDS	942		5.1.3.2	COG1088	UDP-glucose 4-epimerase
